A,B
"(60, -150, -6, 0)","[41.33715120769514, 0, 1]"
"(60, -140, -5, 0)","[46.985193519437956, 0, 2]"
"(50, -140, -4, 0)","[33.709040330624994, 0, 1]"
"(50, -130, -3, 0)","[22.584760967457704, 0, 3]"
"(50, -130, -2, 0)","[31.884807375, 0, 2]"
"(40, -130, -1, 0)","[16.694999999999997, 0, 1]"
"(40, -130, 0, 0)","[17.594999999999995, 0, 2]"
"(30, -130, 1, 0)","[-900.0, 0, 1]"
"(30, -130, 2, 0)","[-900.0, -900.0, 2]"
"(30, -140, 3, 0)","[-893.8838704946988, 0, 2]"
"(420, 10, -9, 0)","[199.9805876662848, 0, 367]"
"(420, 10, -8, 0)","[199.97432546756772, 0, 366]"
"(420, 20, -7, 0)","[199.97286440311598, 0, 355]"
"(350, 30, -6, 0)","[199.97271422637667, 0, 366]"
"(350, 30, -5, 0)","[199.96974999110316, 0, 361]"
"(350, 40, -4, 0)","[199.97567627386252, 0, 367]"
"(350, 40, -3, 0)","[199.96851539521165, 0, 363]"
"(350, 40, -2, 0)","[199.96429469818614, 0, 355]"
"(350, 40, -1, 0)","[199.96210665325145, 0, 361]"
"(350, 40, 0, 0)","[199.95977987149357, 0, 361]"
"(350, 40, 1, 0)","[199.95731413988912, 0, 355]"
"(350, 40, 2, 0)","[199.957777760045, 0, 363]"
"(350, 40, 3, 0)","[199.96224707167136, 0, 367]"
"(350, 30, 4, 0)","[199.94966177428188, 0, 361]"
"(350, 30, 5, 0)","[199.94958012640552, 0, 366]"
"(350, 20, 6, 0)","[199.94400743184343, 0, 355]"
"(350, 10, 7, 0)","[199.94085923525228, 0, 366]"
"(350, 10, 8, 0)","[199.9487324326475, 0, 367]"
"(350, 0, 9, 0)","[199.93619276356554, 0, 366]"
"(350, -10, 10, 0)","[199.94390217777007, 0, 718]"
"(350, -20, 10, 0)","[199.93102366486823, 0, 723]"
"(280, -60, -9, 0)","[199.94186323523047, 0, 340]"
"(280, -60, -8, 0)","[199.93846544916966, 0, 333]"
"(280, -50, -7, 0)","[199.93566379903802, 0, 356]"
"(280, -40, -6, 0)","[199.93347029077535, 0, 372]"
"(280, -40, -5, 0)","[199.9294943694708, 0, 336]"
"(280, -30, -4, 0)","[199.9272441114604, 0, 340]"
"(280, -30, -3, 0)","[199.92272255143737, 0, 364]"
"(280, -30, -2, 0)","[199.9191834615448, 0, 356]"
"(280, -30, -1, 0)","[199.91556965601853, 0, 336]"
"(280, -30, 0, 0)","[199.91190295232047, 0, 336]"
"(280, -30, 1, 0)","[199.908216923697, 0, 356]"
"(280, -30, 2, 0)","[199.90455732864743, 0, 364]"
"(210, -30, 3, 0)","[43.60520486274701, 0, 3]"
