A,B
"(350, 80, 5, 0)","[199.99402879275917, 0, 291]"
"(350, 80, 6, 0)","[199.9938063733838, 0, 282]"
"(350, 70, 7, 0)","[199.99376333331287, 0, 299]"
"(350, 60, 8, 0)","[199.99346064350138, 0, 289]"
"(350, 50, 9, 0)","[199.9926740441016, 0, 291]"
"(350, 40, 10, 0)","[199.99223435736243, 0, 565]"
"(350, 30, 10, 0)","[199.99176082921497, 0, 538]"
"(280, 20, 10, 0)","[199.99125095216363, 0, 565]"
"(280, 10, 10, 0)","[199.99070223651222, 0, 812]"
"(280, -10, -3, 0)","[125.44411564427044, 0, 5]"
"(210, -10, -1, 0)","[199.92807101435702, 0, 280]"
"(210, -10, 0, 0)","[199.92520835016762, 0, 280]"
"(210, -10, 1, 0)","[199.9222560953454, 0, 313]"
"(210, -10, 2, 0)","[199.9192424147232, 0, 450]"
"(210, -20, 3, 0)","[199.91621237878115, 0, 55]"
"(210, -60, -9, 0)","[158.31655516292767, 0, 11]"
"(210, -50, -8, 0)","[156.49408301533342, 0, 14]"
"(210, -40, -7, 0)","[154.53560441281533, 0, 24]"
"(210, -40, -6, 0)","[155.1156195137326, 0, 10]"
"(210, -30, -5, 0)","[150.14995496489243, 0, 20]"
"(210, -30, -4, 0)","[152.65983124006735, 0, 11]"
"(140, -20, -3, 0)","[199.93591670256177, 0, 908]"
"(140, -20, -2, 0)","[199.82040460133783, 0, 533]"
"(140, -20, -1, 0)","[199.79811567580407, 0, 313]"
"(140, -20, 0, 0)","[199.81375626612186, 0, 161]"
"(140, -20, 1, 0)","[146.95663435303362, 0, 18]"
"(140, -20, 2, 0)","[124.6688045654104, 0, 18]"
"(140, -30, 3, 0)","[146.36887665779994, 0, 11]"
"(140, -30, 4, 0)","[141.90526823774036, 0, 20]"
"(140, -40, 5, 0)","[141.9440022181858, 0, 10]"
"(140, -40, 6, 0)","[136.5403123887565, 0, 24]"
"(140, -50, 7, 0)","[-361.131554536579, 133.64125990568684, 14]"
"(140, -60, 8, 0)","[-900.0, 13.202713173758696, 5]"
"(140, -70, 9, 0)","[-900.0, 0, 1]"
"(140, -70, 10, 0)","[141.95517315380627, -844.0494352352424, 11]"
"(420, 50, -9, 0)","[199.99698222469027, 0, 257]"
"(420, 60, -8, 0)","[199.9968347458636, 0, 254]"
"(350, 70, -6, 0)","[199.9965914746625, 0, 247]"
"(350, 80, -4, 0)","[199.996210545929, 0, 257]"
"(350, 80, -3, 0)","[199.9958675779915, 0, 242]"
"(350, 80, 2, 0)","[199.99439452880614, 0, 242]"
"(350, 80, 3, 0)","[199.9946324789748, 0, 257]"
"(350, 70, 5, 0)","[199.99398841765216, 0, 247]"
"(350, 60, 7, 0)","[199.99332062638717, 0, 254]"
"(350, 50, 8, 0)","[199.9929946778662, 0, 257]"
"(350, 40, 9, 0)","[199.99199686378773, 0, 247]"
"(210, -20, 2, 0)","[149.1303199538156, 0, 9]"
"(210, -50, -9, 0)","[199.9445482880094, 0, 74]"
"(210, -40, -8, 0)","[199.94493564228537, 0, 180]"
"(210, -30, -6, 0)","[134.96216939210845, 0, 30]"
"(210, -20, -4, 0)","[199.93243835980815, 0, 74]"
"(210, -20, -3, 0)","[139.9113472188079, 0, 19]"
"(210, -20, -2, 0)","[145.91562428159844, 0, 17]"
"(140, -20, 3, 0)","[66.70543611226097, 0, 22]"
"(140, -30, 5, 0)","[38.1276287043281, 0, 28]"
"(140, -40, 7, 0)","[-648.4061408495007, 199.9193422234253, 180]"
"(140, -50, 8, 0)","[-1616.8529052945064, -783.6873845234724, 28]"
"(140, -60, 9, 0)","[-1524.2185993171665, -786.0003487468754, 8]"
"(140, -80, 10, 0)","[-885.7257750000001, 18.88669170207841, 7]"
"(350, 20, -6, 0)","[199.95729061470573, 0, 312]"
"(350, 30, -3, 0)","[199.94628992238242, 0, 305]"
"(350, 30, 2, 0)","[199.91998273894404, 0, 305]"
"(350, 20, 5, 0)","[199.89310272985625, 0, 312]"
"(350, -10, 9, 0)","[199.83424683775542, 0, 312]"
